ORBIT_CNT,EVENT,M
1897419801.0,1,5.618983519252198
1897419801.0,1,5.618983519252198
1897419801.0,1,5.618983519252198
1897419801.0,1,5.618983519252198
1897425012.0,1,19.000991729488867
1897425012.0,1,19.000991729488867
1897425012.0,1,19.000991729488867
1897425012.0,1,19.000991729488867
1897426790.0,1,4.662024574960908
1897426790.0,1,4.662024574960908
1897426790.0,1,4.662024574960908
1897426790.0,1,4.662024574960908
1897430901.0,1,17.71967864699499
1897430901.0,1,17.71967864699499
1897430901.0,1,17.71967864699499
1897430901.0,1,17.71967864699499
1897433023.0,1,7.098566606504165
1897433023.0,1,7.098566606504165
1897433023.0,1,7.098566606504165
1897433023.0,1,7.098566606504165
1897435317.0,1,9.89834053420423
1897435317.0,1,9.89834053420423
1897435317.0,1,9.89834053420423
1897435317.0,1,9.89834053420423
1897436185.0,1,1.9480730083394215
1897436185.0,1,1.9480730083394215
1897436185.0,1,1.9480730083394215
1897436185.0,1,1.9480730083394215
1897440366.0,1,16.765571096528607
1897440366.0,1,16.765571096528607
1897440366.0,1,16.765571096528607
1897440366.0,1,16.765571096528607
1897445993.0,1,10.942204821366307
1897445993.0,1,10.942204821366307
1897445993.0,1,10.942204821366307
1897445993.0,1,10.942204821366307
1897454450.0,1,-9.65395170245677
1897454450.0,1,-9.65395170245677
1897454450.0,1,-9.65395170245677
1897454450.0,1,-9.65395170245677
1897455706.0,1,19.08565223569361
1897455706.0,1,19.08565223569361
1897455706.0,1,19.08565223569361
1897455706.0,1,19.08565223569361
1897455834.0,1,-2.250337678586439
1897455834.0,1,-2.250337678586439
1897455834.0,1,-2.250337678586439
1897455834.0,1,-2.250337678586439
1897465836.0,1,20.119189495311222
1897465836.0,1,20.119189495311222
1897465836.0,1,20.119189495311222
1897465836.0,1,20.119189495311222
1897471943.0,1,6.688062534983126
1897471943.0,1,6.688062534983126
1897471943.0,1,6.688062534983126
1897471943.0,1,6.688062534983126
1897480169.0,1,-18.42367991697893
1897480169.0,1,-18.42367991697893
1897480169.0,1,-18.42367991697893
1897480169.0,1,-18.42367991697893
1897483770.0,1,8.928336008356515
1897483770.0,1,8.928336008356515
1897483770.0,1,8.928336008356515
1897483770.0,1,8.928336008356515
1897484552.0,1,36.81844293077798
1897484552.0,1,36.81844293077798
1897484552.0,1,36.81844293077798
1897484552.0,1,36.81844293077798
1897486929.0,1,5.999023345817424
1897486929.0,1,5.999023345817424
1897486929.0,1,5.999023345817424
1897486929.0,1,5.999023345817424
1897489990.0,1,-14.969701518641449
1897489990.0,1,-14.969701518641449
1897489990.0,1,-14.969701518641449
1897489990.0,1,-14.969701518641449
1897490499.0,1,35.896961647304806
1897490499.0,1,35.896961647304806
1897490499.0,1,35.896961647304806
1897490499.0,1,35.896961647304806
1897496579.0,1,17.39899207140481
1897496579.0,1,17.39899207140481
1897496579.0,1,17.39899207140481
1897496579.0,1,17.39899207140481
1897502362.0,1,17.058205556575846
1897502362.0,1,17.058205556575846
1897502362.0,1,17.058205556575846
1897502362.0,1,17.058205556575846
1897508513.0,1,-13.391797391652473
1897508513.0,1,-13.391797391652473
1897508513.0,1,-13.391797391652473
1897508513.0,1,-13.391797391652473
1897515615.0,1,16.878917241340105
1897515615.0,1,16.878917241340105
1897515615.0,1,16.878917241340105
1897515615.0,1,16.878917241340105
1897522000.0,1,22.08280774737751
1897522000.0,1,22.08280774737751
1897522000.0,1,22.08280774737751
1897522000.0,1,22.08280774737751
1897525656.0,1,-14.455810464345833
1897525656.0,1,-14.455810464345833
1897525656.0,1,-14.455810464345833
1897525656.0,1,-14.455810464345833
1897526869.0,1,6.804608405596023
1897526869.0,1,6.804608405596023
1897526869.0,1,6.804608405596023
1897526869.0,1,6.804608405596023
1897532448.0,1,13.775906667982158
1897532448.0,1,13.775906667982158
1897532448.0,1,13.775906667982158
1897532448.0,1,13.775906667982158
1897532482.0,1,-13.700914619697443
1897532482.0,1,-13.700914619697443
1897532482.0,1,-13.700914619697443
1897532482.0,1,-13.700914619697443
1897535420.0,1,-6.457230041246394
1897535420.0,1,-6.457230041246394
1897535420.0,1,-6.457230041246394
1897535420.0,1,-6.457230041246394
1897537727.0,1,5.819586730853476
1897537727.0,1,5.819586730853476
1897537727.0,1,5.819586730853476
1897537727.0,1,5.819586730853476
1897537846.0,1,19.512705674239687
1897537846.0,1,19.512705674239687
1897537846.0,1,19.512705674239687
1897537846.0,1,19.512705674239687
1897541063.0,1,18.50364651328225
1897541063.0,1,18.50364651328225
1897541063.0,1,18.50364651328225
1897541063.0,1,18.50364651328225
1897541818.0,1,4.107936813817412
1897541818.0,1,4.107936813817412
1897541818.0,1,4.107936813817412
1897541818.0,1,4.107936813817412
1897544769.0,1,-8.81201859619359
1897544769.0,1,-8.81201859619359
1897544769.0,1,-8.81201859619359
1897544769.0,1,-8.81201859619359
1897545171.0,1,-8.408487386206481
1897545171.0,1,-8.408487386206481
